Season,Team,conference,PreRank,PostRank,Change,Status
2020,Louisiana,Sun Belt,,15,20,Underrated
2020,Miami (FL),ACC,,22,13,Underrated
2020,Michigan,Big Ten,16,,-19,Overrated
2020,Minnesota,Big Ten,19,,-16,Overrated
2020,North Carolina,ACC,18,18,0,Properly Rated
2020,Northwestern,Big Ten,,10,25,Very Underrated
2020,Notre Dame,Independent,10,5,5,Properly Rated
2020,Ohio State,Big Ten,2,2,0,Properly Rated
2020,Oklahoma,Big 12,5,6,-1,Properly Rated
2020,Oklahoma State,Big 12,15,20,-5,Properly Rated
2020,Oregon,Pac-12,9,,-26,Very Overrated
2020,Penn State,Big Ten,7,,-28,Very Overrated
2020,San Jose State,Mountain West,,24,11,Underrated
2020,Tennessee,SEC,25,,-10,Overrated
2020,Texas,Big 12,14,19,-5,Properly Rated
2020,Texas A&M,SEC,13,4,9,Underrated
2020,UCF,American,21,,-14,Overrated
2020,USC,Pac-12,17,21,-4,Properly Rated
2020,Utah,Pac-12,22,,-13,Overrated
2020,Wisconsin,Big Ten,12,,-23,Very Overrated
2021,Alabama,SEC,1,2,-1,Properly Rated
2021,Arizona State,Pac-12,25,,-10,Overrated
2021,Arkansas,SEC,,21,14,Underrated
2021,BYU,Independent,,19,16,Underrated
2021,Baylor,Big 12,,5,30,Very Underrated
2021,Cincinnati,American,8,4,4,Properly Rated
2021,Clemson,ACC,3,14,-11,Overrated
2021,Coastal Carolina,Sun Belt,22,,-13,Overrated
2021,Florida,SEC,13,,-22,Very Overrated
2021,Georgia,SEC,5,1,4,Properly Rated
2021,Houston,American,,17,18,Underrated
2021,Indiana,Big Ten,17,,-18,Overrated
2021,Iowa,Big Ten,18,23,-5,Properly Rated
2021,Iowa State,Big 12,7,,-28,Very Overrated
2021,Kentucky,SEC,,18,17,Underrated
2021,LSU,SEC,16,,-19,Overrated
2021,Louisiana,Sun Belt,23,16,7,Underrated
2021,Miami (FL),ACC,14,,-21,Very Overrated
2021,Michigan,Big Ten,,3,32,Very Underrated
2021,Michigan State,Big Ten,,9,26,Very Underrated
2021,NC State,ACC,,20,15,Underrated
2021,North Carolina,ACC,10,,-25,Very Overrated
2021,Notre Dame,Independent,9,8,1,Properly Rated
2021,Ohio State,Big Ten,4,6,-2,Properly Rated
2021,Oklahoma,Big 12,2,10,-8,Overrated
2021,Oklahoma State,Big 12,,7,28,Very Underrated
2021,Ole Miss,SEC,,11,24,Very Underrated
2021,Oregon,Pac-12,11,22,-11,Overrated
2021,Penn State,Big Ten,19,,-16,Overrated
2021,Pittsburgh,ACC,,13,22,Very Underrated
2021,San Diego State,Mountain West,,25,10,Underrated
2021,Texas,Big 12,21,,-14,Overrated
2021,Texas A&M,SEC,6,,-29,Very Overrated
2021,USC,Pac-12,15,,-20,Overrated
2021,Utah,Pac-12,24,12,12,Underrated
2021,Utah State,Mountain West,,24,11,Underrated
2021,Wake Forest,ACC,,15,20,Underrated
2021,Washington,Pac-12,20,,-15,Overrated
2021,Wisconsin,Big Ten,12,,-23,Very Overrated
2022,Alabama,SEC,1,5,-4,Properly Rated
2022,Arkansas,SEC,19,,-16,Overrated
2022,BYU,Independent,25,,-10,Overrated
2022,Baylor,Big 12,10,,-25,Very Overrated
2022,Cincinnati,American,23,,-12,Overrated
2022,Clemson,ACC,4,13,-9,Overrated
2022,Florida State,ACC,,11,24,Very Underrated
2022,Fresno State,Mountain West,,24,11,Underrated
2022,Georgia,SEC,3,1,2,Properly Rated
2022,Houston,American,24,,-11,Overrated
2022,Kansas State,Big 12,,14,21,Very Underrated
2022,Kentucky,SEC,20,,-15,Overrated
2022,LSU,SEC,,16,19,Underrated
2022,Miami (FL),ACC,16,,-19,Overrated
2022,Michigan,Big Ten,8,3,5,Properly Rated
2022,Michigan State,Big Ten,15,,-20,Overrated
2022,Mississippi State,SEC,,20,15,Underrated
2022,NC State,ACC,13,,-22,Very Overrated
2022,Notre Dame,Independent,5,18,-13,Overrated
2022,Ohio State,Big Ten,2,4,-2,Properly Rated
2022,Oklahoma,Big 12,9,,-26,Very Overrated
2022,Oklahoma State,Big 12,12,,-23,Very Overrated
2022,Ole Miss,SEC,21,,-14,Overrated
2022,Oregon,Pac-12,11,15,-4,Properly Rated
2022,Oregon State,Pac-12,,17,18,Underrated
2022,Penn State,Big Ten,,7,28,Very Underrated
2022,Pittsburgh,ACC,17,22,-5,Properly Rated
2022,South Carolina,SEC,,23,12,Underrated
2022,TCU,Big 12,,2,33,Very Underrated
2022,Tennessee,SEC,,6,29,Very Underrated
2022,Texas,Big 12,,25,10,Underrated
2022,Texas A&M,SEC,6,,-29,Very Overrated
2022,Troy,Sun Belt,,19,16,Underrated
2022,Tulane,American,,9,26,Very Underrated
2022,UCLA,Pac-12,,21,14,Underrated
2022,USC,Pac-12,14,12,2,Properly Rated
2022,Utah,Pac-12,7,10,-3,Properly Rated
2022,Wake Forest,ACC,22,,-13,Overrated
2022,Washington,Pac-12,,8,27,Very Underrated
2022,Wisconsin,Big Ten,18,,-17,Overrated
2023,Alabama,SEC,4,5,-1,Properly Rated
2023,Arizona,Pac-12,,11,24,Very Underrated
2023,Clemson,ACC,9,20,-11,Overrated
2023,Florida State,ACC,8,6,2,Properly Rated
2023,Georgia,SEC,1,4,-3,Properly Rated
2023,Iowa,Big Ten,25,24,1,Properly Rated
2023,Kansas,Big 12,,23,12,Underrated
2023,Kansas State,Big 12,16,18,-2,Properly Rated
2023,LSU,SEC,5,12,-7,Overrated
2023,Liberty,Conference USA,,25,10,Underrated
2023,Louisville,ACC,,19,16,Underrated
2023,Michigan,Big Ten,2,1,1,Properly Rated
2023,Missouri,SEC,,8,27,Very Underrated
2023,NC State,ACC,,21,14,Underrated
2023,North Carolina,ACC,21,,-14,Overrated
2023,Notre Dame,Independent,13,14,-1,Properly Rated
2023,Ohio State,Big Ten,3,10,-7,Overrated
2023,Oklahoma,Big 12,20,15,5,Properly Rated
2023,Oklahoma State,Big 12,,16,19,Underrated
2023,Ole Miss,SEC,22,9,13,Underrated
2023,Oregon,Pac-12,15,7,8,Underrated
2023,Oregon State,Pac-12,18,,-17,Overrated
2023,Penn State,Big Ten,7,13,-6,Overrated
2023,SMU,American,,22,13,Underrated
2023,TCU,Big 12,17,,-18,Overrated
2023,Tennessee,SEC,12,17,-5,Properly Rated
2023,Texas,Big 12,11,3,8,Underrated
2023,Texas A&M,SEC,23,,-12,Overrated
2023,Tulane,American,24,,-11,Overrated
2023,USC,Pac-12,6,,-29,Very Overrated
2023,Utah,Pac-12,14,,-21,Very Overrated
2023,Washington,Pac-12,10,2,8,Underrated
2023,Wisconsin,Big Ten,19,,-16,Overrated
2024,Alabama,SEC,5,17,-12,Overrated
2024,Arizona,Big 12,21,,-14,Overrated
2024,Arizona State,Big 12,,7,28,Very Underrated
2024,Army,American,,21,14,Underrated
2024,BYU,Big 12,,13,22,Very Underrated
2024,Boise State,Mountain West,,8,27,Very Underrated
2024,Clemson,ACC,14,14,0,Properly Rated
2024,Colorado,Big 12,,25,10,Underrated
